X.OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
denovo100,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Polyporales, f__Polyporaceae, g__Diplomitoporus, s__Diplomitoporus flavescens
denovo101,k__Fungi, p__Ascomycota,,,,,
denovo102,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus victoriae
denovo103,k__Fungi,,,,,,
denovo104,k__Fungi,,,,,,
denovo105,k__Fungi,,,,,,
denovo106,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo107,k__Fungi,,,,,,
denovo108,k__Fungi, p__Ascomycota, c__Leotiomycetes,,,,
denovo109,k__Fungi,,,,,,
denovo110,k__Fungi,,,,,,
denovo111,k__Fungi,,,,,,
denovo112,k__Fungi,,,,,,
denovo113,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus, s__Glomus indicum
denovo114,k__Fungi,,,,,,
denovo115,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo116,k__Fungi,,,,,,
denovo117,k__Fungi,,,,,,
denovo118,k__Fungi, p__Basidiomycota,,,,,
denovo119,k__Fungi,,,,,,
denovo120,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__Pleosporaceae, g__Alternaria, s__Alternaria sp 3 MU_2012
denovo121,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo122,k__Fungi,,,,,,
denovo123,k__Fungi,,,,,,
denovo124,k__Fungi,,,,,,
denovo125,k__Fungi, p__Zygomycota, c__Incertae sedis, o__Mortierellales, f__Mortierellaceae, g__Mortierella,
denovo126,k__Fungi,,,,,,
denovo127,k__Fungi,,,,,,
denovo128,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo129,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Hypocreaceae, g__Trichoderma, s__Trichoderma citrinoviride
denovo130,k__Fungi,,,,,,
denovo131,k__Fungi,,,,,,
denovo132,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae, g__Hyaloscypha, s__Hyaloscypha aureliella
denovo133,k__Fungi,,,,,,
denovo134,k__Fungi,,,,,,
denovo135,k__Fungi,,,,,,
denovo136,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo137,k__Fungi,,,,,,
denovo138,k__Fungi,,,,,,
denovo139,k__Fungi,,,,,,
denovo140,k__Fungi,,,,,,
denovo141,k__Fungi,,,,,,
denovo142,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus podzolicus
denovo143,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Agaricaceae,,
denovo144,k__Fungi,,,,,,
denovo145,k__Fungi,,,,,,
denovo146,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo147,k__Fungi,,,,,,
denovo148,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Chaetosphaeriales, f__Chaetosphaeriaceae, g__Chaetosphaeria, s__Chaetosphaeria sp
denovo149,k__Fungi,,,,,,
denovo150,k__Fungi,,,,,,
denovo151,k__Fungi,,,,,,
denovo152,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Nectriaceae, g__Volutella, s__Volutella sp
denovo153,k__Fungi,,,,,,
denovo154,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales,,,
denovo155,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo156,k__Fungi,,,,,,
