X.OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
denovo2384,k__Fungi,,,,,,
denovo2385,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Diversisporaceae,,
denovo2386,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius,
denovo2387,k__Fungi,,,,,,
denovo2388,k__Fungi,,,,,,
denovo2389,k__Fungi,,,,,,
denovo2390,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Psathyrellaceae, g__Coprinopsis, s__Coprinopsis atramentaria
denovo2391,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2392,k__Fungi,,,,,,
denovo2393,k__Fungi,,,,,,
denovo2394,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo2395,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Filobasidiales, f__Filobasidiaceae, g__Cryptococcus, s__Cryptococcus fuscescens
denovo2396,k__Fungi,,,,,,
denovo2397,k__Fungi,,,,,,
denovo2398,k__Fungi,,,,,,
denovo2399,k__Fungi,,,,,,
denovo2400,k__Fungi,,,,,,
denovo2401,k__Fungi,,,,,,
denovo2402,k__Fungi,,,,,,
denovo2403,k__Fungi,,,,,,
denovo2404,k__Fungi,,,,,,
denovo2405,k__Fungi,,,,,,
denovo2406,k__Fungi,,,,,,
denovo2407,k__Fungi,,,,,,
denovo2408,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius,
denovo2409,k__Fungi,,,,,,
denovo2410,k__Fungi,,,,,,
denovo2411,k__Fungi,,,,,,
denovo2412,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Lyophyllaceae, g__Tephrocybe, s__Tephrocybe palustris
denovo2413,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__Incertae sedis, g__Leptosphaerulina, s__Leptosphaerulina sp
denovo2414,k__Fungi, p__Ascomycota, c__Pezizomycetes, o__Pezizales, f__Pezizaceae, g__Pachyphloeus, s__Pachyphloeus sp
denovo2415,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2416,k__Fungi,,,,,,
denovo2417,k__Fungi,,,,,,
denovo2418,k__Fungi,,,,,,
denovo2419,k__Fungi,,,,,,
denovo2420,k__Fungi, p__Ascomycota,,,,,
denovo2421,k__Fungi,,,,,,
denovo2422,k__Fungi,,,,,,
denovo2423,k__Fungi, p__Ascomycota,,,,,
denovo2424,k__Fungi,,,,,,
denovo2425,k__Fungi,,,,,,
denovo2426,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2427,k__Fungi,,,,,,
denovo2428,k__Fungi,,,,,,
denovo2429,k__Fungi,,,,,,
denovo2430,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales,,,
denovo2431,k__Fungi,,,,,,
denovo2432,k__Fungi,,,,,,
denovo2433,k__Fungi,,,,,,
denovo2434,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Inocybaceae, g__Crepidotus, s__Crepidotus sphaerosporus
denovo2435,k__Fungi,,,,,,
denovo2436,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae, g__Hyaloscypha, s__Hyaloscypha aureliella
denovo2437,k__Fungi, p__Ascomycota, c__Incertae sedis, o__Incertae sedis, f__Incertae sedis,,
denovo2438,k__Fungi,,,,,,
denovo2439,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus, s__Glomus sp 0504
denovo2440,k__Fungi,,,,,,
denovo2441,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Chaetothyriales, f__Herpotrichiellaceae, g__Cladophialophora,
denovo2442,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__Incertae sedis, g__Leptosphaerulina, s__Leptosphaerulina sp
denovo2443,k__Fungi,,,,,,
denovo2444,k__Fungi,,,,,,
denovo2445,k__Fungi, p__Ascomycota,,,,,
denovo2446,k__Fungi,,,,,,
denovo2447,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo2448,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus,
denovo2449,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo2450,k__Fungi, p__Ascomycota,,,,,
denovo2451,k__Fungi,,,,,,
denovo2452,k__Fungi,,,,,,
denovo2453,k__Fungi, p__Ascomycota,,,,,
denovo2454,k__Fungi,,,,,,
denovo2455,k__Fungi,,,,,,
denovo2456,k__Fungi,,,,,,
denovo2457,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo2458,k__Fungi,,,,,,
denovo2459,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Dothideales, f__Dothioraceae, g__Kabatiella, s__Kabatiella sp
denovo2460,k__Fungi,,,,,,
denovo2461,k__Fungi,,,,,,
denovo2462,k__Fungi,,,,,,
denovo2463,k__Fungi,,,,,,
denovo2464,k__Fungi,,,,,,
denovo2465,k__Fungi,,,,,,
denovo2466,k__Fungi,,,,,,
denovo2467,k__Fungi, p__Ascomycota,,,,,
denovo2468,k__Fungi,,,,,,
denovo2469,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae, g__Pseudotomentella, s__Pseudotomentella atrofusca
denovo2470,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo2471,k__Fungi,,,,,,
denovo2472,k__Fungi,,,,,,
denovo2473,k__Fungi,,,,,,
denovo2474,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis,,
denovo2475,k__Fungi,,,,,,
denovo2476,k__Fungi, p__Zygomycota, c__Incertae sedis, o__Mortierellales, f__Mortierellaceae, g__Mortierella, s__Mortierella horticola
denovo2477,k__Fungi,,,,,,
denovo2478,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae, g__Hyaloscypha, s__Hyaloscypha aureliella
denovo2479,k__Fungi,,,,,,
denovo2480,k__Fungi,,,,,,
denovo2481,k__Fungi,,,,,,
denovo2482,k__Fungi,,,,,,
denovo2483,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Stephanosporaceae, g__Lindtneria, s__Lindtneria sp
denovo2484,k__Fungi,,,,,,
denovo2485,k__Fungi,,,,,,
denovo2486,k__Fungi,,,,,,
denovo2487,k__Fungi,,,,,,
denovo2488,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae, g__Hyaloscypha, s__Hyaloscypha aureliella
denovo2489,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Atheliales, f__Atheliaceae, g__Tylospora, s__Tylospora sp
denovo2490,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae, g__Hebeloma,
denovo2491,k__Fungi,,,,,,
denovo2492,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Cystofilobasidiales, f__Incertae sedis, g__Syzygospora, s__Syzygospora sp
denovo2493,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo2494,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus,
denovo2495,k__Fungi,,,,,,
denovo2496,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2497,k__Fungi,,,,,,
denovo2498,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus podzolicus
denovo2499,k__Fungi,,,,,,
denovo2500,k__Fungi,,,,,,
denovo2501,k__Fungi,,,,,,
denovo2502,k__Fungi,,,,,,
denovo2503,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus, s__Glomus indicum
denovo2504,k__Fungi,,,,,,
denovo2505,k__Fungi,,,,,,
denovo2506,k__Fungi, p__Basidiomycota,,,,,
denovo2507,k__Fungi,,,,,,
denovo2508,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus,
denovo2509,k__Fungi,,,,,,
denovo2510,k__Fungi,,,,,,
denovo2511,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo2512,k__Fungi,,,,,,
denovo2513,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae,,
denovo2514,k__Fungi,,,,,,
denovo2515,k__Fungi,,,,,,
denovo2516,k__Fungi,,,,,,
denovo2517,k__Fungi,,,,,,
denovo2518,k__Fungi,,,,,,
denovo2519,k__Fungi,,,,,,
denovo2520,k__Fungi,,,,,,
denovo2521,k__Fungi,,,,,,
denovo2522,k__Fungi,,,,,,
denovo2523,k__Fungi,,,,,,
denovo2524,k__Fungi,,,,,,
denovo2525,k__Fungi,,,,,,
denovo2526,k__Fungi,,,,,,
denovo2527,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Clavicipitaceae, g__Metarhizium, s__Metarhizium pinghaense
denovo2528,k__Fungi,,,,,,
denovo2529,k__Fungi, p__Ascomycota, c__Pezizomycetes, o__Pezizales, f__Pezizaceae, g__Peziza, s__Peziza varia
denovo2530,k__Fungi,,,,,,
denovo2531,k__Fungi,,,,,,
denovo2532,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Sebacinales, f__Sebacinales Group B, g__unidentified, s__Sebacinales Group B sp
denovo2533,k__Fungi,,,,,,
denovo2534,k__Fungi,,,,,,
denovo2535,k__Fungi,,,,,,
denovo2536,k__Fungi,,,,,,
denovo2537,k__Fungi,,,,,,
denovo2538,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus podzolicus
denovo2539,k__Fungi,,,,,,
denovo2540,k__Fungi, p__Ascomycota,,,,,
denovo2541,k__Fungi,,,,,,
denovo2542,k__Fungi,,,,,,
denovo2543,k__Fungi, p__Ascomycota,,,,,
denovo2544,k__Fungi,,,,,,
denovo2545,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus podzolicus
denovo2546,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae,,
denovo2547,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae, g__Pseudotomentella, s__Pseudotomentella atrofusca
denovo2548,k__Fungi,,,,,,
denovo2549,k__Fungi,,,,,,
denovo2550,k__Fungi,,,,,,
denovo2551,k__Fungi,,,,,,
denovo2552,k__Fungi,,,,,,
denovo2553,k__Fungi,,,,,,
denovo2554,k__Fungi,,,,,,
denovo2555,k__Fungi,,,,,,
denovo2556,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Psathyrellaceae, g__Coprinopsis, s__Coprinopsis sp
denovo2557,k__Fungi,,,,,,
denovo2558,k__Fungi,,,,,,
denovo2559,k__Fungi, p__Ascomycota,,,,,
denovo2560,k__Fungi,,,,,,
denovo2561,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2562,k__Fungi,,,,,,
denovo2563,k__Fungi,,,,,,
denovo2564,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2565,k__Fungi,,,,,,
denovo2566,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius, s__Cortinarius aurantiobasis
denovo2567,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Sordariales, f__Lasiosphaeriaceae,,
denovo2568,k__Fungi,,,,,,
denovo2569,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Hannaella, s__Hannaella sp CMON52
denovo2570,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius,
denovo2571,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Capnodiales, f__Davidiellaceae, g__Cladosporium, s__Cladosporium sp 4 MU_2012
denovo2572,k__Fungi,,,,,,
denovo2573,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Hydnangiaceae, g__Laccaria,
denovo2574,k__Fungi,,,,,,
denovo2575,k__Fungi,,,,,,
denovo2576,k__Fungi,,,,,,
denovo2577,k__Fungi,,,,,,
denovo2578,k__Fungi,,,,,,
denovo2579,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Boletales, f__Rhizopogonaceae, g__Rhizopogon, s__Rhizopogon fuscorubens
denovo2580,k__Fungi,,,,,,
denovo2581,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius,
denovo2582,k__Fungi,,,,,,
denovo2583,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2584,k__Fungi,,,,,,
denovo2585,k__Fungi,,,,,,
denovo2586,k__Fungi,,,,,,
denovo2587,k__Fungi, p__Chytridiomycota, c__Chytridiomycetes, o__Rhizophlyctidales, f__Rhizophlyctidaceae, g__Rhizophlyctis, s__Rhizophlyctis rosea
denovo2588,k__Fungi, p__Ascomycota, c__Saccharomycetes, o__Saccharomycetales, f__Lipomycetaceae, g__Lipomyces, s__Lipomyces sp
denovo2589,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Septoglomus, s__Septoglomus viscosum
denovo2590,k__Fungi,,,,,,
denovo2591,k__Fungi,,,,,,
denovo2592,k__Fungi,,,,,,
denovo2593,k__Fungi,,,,,,
denovo2594,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2595,k__Fungi,,,,,,
denovo2596,k__Fungi,,,,,,
denovo2597,k__Fungi,,,,,,
denovo2598,k__Fungi,,,,,,
denovo2599,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae,,
denovo2600,k__Fungi,,,,,,
denovo2601,k__Fungi,,,,,,
denovo2602,k__Fungi,,,,,,
denovo2603,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Agaricaceae,,
denovo2604,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo2605,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae, g__Galerina, s__Galerina calyptrata
denovo2606,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2607,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae, g__Pseudotomentella, s__Pseudotomentella sp
denovo2608,k__Fungi,,,,,,
denovo2609,k__Fungi,,,,,,
denovo2610,k__Fungi,,,,,,
denovo2611,k__Fungi,,,,,,
denovo2612,k__Fungi,,,,,,
denovo2613,k__Fungi,,,,,,
denovo2614,k__Fungi,,,,,,
denovo2615,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius,
denovo2616,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae, g__Pseudotomentella, s__Pseudotomentella sp
denovo2617,k__Fungi,,,,,,
denovo2618,k__Fungi,,,,,,
denovo2619,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo2620,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus, s__Glomus indicum
denovo2621,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2622,k__Fungi,,,,,,
denovo2623,k__Fungi,,,,,,
denovo2624,k__Fungi,,,,,,
denovo2625,k__Fungi,,,,,,
denovo2626,k__Fungi,,,,,,
denovo2627,k__Fungi,,,,,,
denovo2628,k__Fungi,,,,,,
denovo2629,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Agaricaceae, g__Bovista, s__Bovista promontorii
denovo2630,k__Fungi,,,,,,
denovo2631,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Diversisporales, f__Acaulosporaceae, g__Entrophospora, s__Entrophospora sp
denovo2632,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Hypocreaceae, g__Trichoderma, s__Trichoderma sp TR057
denovo2633,k__Fungi,,,,,,
denovo2634,k__Fungi,,,,,,
denovo2635,k__Fungi,,,,,,
denovo2636,k__Fungi,,,,,,
denovo2637,k__Fungi,,,,,,
denovo2638,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo2639,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo2640,k__Fungi,,,,,,
denovo2641,k__Fungi,,,,,,
denovo2642,k__Fungi,,,,,,
denovo2643,k__Fungi,,,,,,
denovo2644,k__Fungi,,,,,,
denovo2645,k__Fungi,,,,,,
denovo2646,k__Fungi,,,,,,
denovo2647,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Boletales, f__Coniophoraceae, g__Coniophora, s__Coniophora arida
denovo2648,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Boletales, f__Rhizopogonaceae, g__Rhizopogon, s__Rhizopogon fuscorubens
denovo2649,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Boletales, f__Rhizopogonaceae, g__Rhizopogon, s__Rhizopogon fuscorubens
denovo2650,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius,
denovo2651,k__Fungi,,,,,,
denovo2652,k__Fungi,,,,,,
denovo2653,k__Fungi,,,,,,
denovo2654,k__Fungi,,,,,,
denovo2655,k__Fungi,,,,,,
denovo2656,k__Fungi,,,,,,
denovo2657,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Boletales, f__Rhizopogonaceae, g__Rhizopogon, s__Rhizopogon fuscorubens
denovo2658,k__Fungi,,,,,,
denovo2659,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo2660,k__Fungi, p__Ascomycota,,,,,
denovo2661,k__Fungi,,,,,,
denovo2662,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__unidentified, g__unidentified, s__uncultured Tremellales
denovo2663,k__Fungi,,,,,,
denovo2664,k__Fungi,,,,,,
denovo2665,k__Fungi,,,,,,
denovo2666,k__Fungi,,,,,,
denovo2667,k__Fungi,,,,,,
denovo2668,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2669,k__Fungi,,,,,,
denovo2670,k__Fungi, p__Ascomycota, c__Dothideomycetes,,,,
denovo2671,k__Fungi,,,,,,
denovo2672,k__Fungi,,,,,,
denovo2673,k__Fungi,,,,,,
denovo2674,k__Fungi,,,,,,
denovo2675,k__Fungi, p__Ascomycota, c__Saccharomycetes, o__Saccharomycetales, f__Trichomonascaceae, g__Sugiyamaella, s__Sugiyamaella paludigena
denovo2676,k__Fungi,,,,,,
denovo2677,k__Fungi,,,,,,
denovo2678,k__Fungi,,,,,,
denovo2679,k__Fungi, p__Ascomycota, c__Saccharomycetes, o__Saccharomycetales, f__Lipomycetaceae, g__Lipomyces, s__Lipomyces sp
denovo2680,k__Fungi,,,,,,
denovo2681,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales,,,
denovo2682,k__Fungi,,,,,,
denovo2683,k__Fungi,,,,,,
denovo2684,k__Fungi,,,,,,
denovo2685,k__Fungi,,,,,,
denovo2686,k__Fungi,,,,,,
denovo2687,k__Fungi,,,,,,
denovo2688,k__Fungi,,,,,,
denovo2689,k__Fungi,,,,,,
denovo2690,k__Fungi,,,,,,
denovo2691,k__Fungi,,,,,,
denovo2692,k__Fungi,,,,,,
denovo2693,k__Fungi,,,,,,
denovo2694,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Entolomataceae, g__Entoloma,
denovo2695,k__Fungi,,,,,,
denovo2696,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Stephanosporaceae,,
denovo2697,k__Fungi, p__Ascomycota,,,,,
denovo2698,k__Fungi,,,,,,
denovo2699,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Psathyrellaceae, g__Coprinopsis,
denovo2700,k__Fungi,,,,,,
denovo2701,k__Fungi,,,,,,
denovo2702,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2703,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo2704,k__Fungi,,,,,,
denovo2705,k__Fungi,,,,,,
denovo2706,k__Fungi,,,,,,
denovo2707,k__Fungi,,,,,,
denovo2708,k__Fungi,,,,,,
denovo2709,k__Fungi, p__Ascomycota,,,,,
denovo2710,k__Fungi,,,,,,
denovo2711,k__Fungi,,,,,,
denovo2712,k__Fungi,,,,,,
denovo2713,k__Fungi,,,,,,
denovo2714,k__Fungi,,,,,,
denovo2715,k__Fungi,,,,,,
denovo2716,k__Fungi,,,,,,
denovo2717,k__Fungi,,,,,,
denovo2718,k__Fungi, p__Ascomycota,,,,,
denovo2719,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius,
denovo2720,k__Fungi,,,,,,
denovo2721,k__Fungi,,,,,,
denovo2722,k__Fungi,,,,,,
denovo2723,k__Fungi,,,,,,
denovo2724,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2725,k__Fungi,,,,,,
denovo2726,k__Fungi, p__Ascomycota, c__Dothideomycetes, o__Pleosporales, f__Pleosporaceae, g__Alternaria,
denovo2727,k__Fungi,,,,,,
denovo2728,k__Fungi,,,,,,
denovo2729,k__Fungi,,,,,,
denovo2730,k__Fungi,,,,,,
denovo2731,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2732,k__Fungi, p__Zygomycota, c__Incertae sedis, o__Endogonales, f__Endogonaceae, g__Endogone, s__Endogone pisiformis
denovo2733,k__Fungi,,,,,,
denovo2734,k__Fungi,,,,,,
denovo2735,k__Fungi,,,,,,
denovo2736,k__Fungi,,,,,,
denovo2737,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo2738,k__Fungi,,,,,,
denovo2739,k__Fungi,,,,,,
denovo2740,k__Fungi, p__Zygomycota, c__Incertae sedis, o__Mortierellales, f__Mortierellaceae, g__Mortierella, s__Mortierella humilis
denovo2741,k__Fungi,,,,,,
denovo2742,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Agaricaceae, g__Agaricus,
denovo2743,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Inocybaceae, g__Inocybe,
denovo2744,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus,
denovo2745,k__Fungi,,,,,,
denovo2746,k__Fungi, p__Basidiomycota,,,,,
denovo2747,k__Fungi,,,,,,
denovo2748,k__Fungi,,,,,,
denovo2749,k__Fungi,,,,,,
denovo2750,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius, s__Cortinarius alpinus
denovo2751,k__Fungi,,,,,,
denovo2752,k__Fungi, p__Ascomycota, c__Dothideomycetes,,,,
denovo2753,k__Fungi,,,,,,
denovo2754,k__Fungi,,,,,,
denovo2755,k__Fungi,,,,,,
denovo2756,k__Fungi,,,,,,
denovo2757,k__Fungi, p__Ascomycota,,,,,
denovo2758,k__Fungi,,,,,,
denovo2759,k__Fungi,,,,,,
denovo2760,k__Fungi,,,,,,
denovo2761,k__Fungi, p__Ascomycota,,,,,
denovo2762,k__Fungi,,,,,,
denovo2763,k__Fungi,,,,,,
denovo2764,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Hypocreaceae, g__Trichoderma, s__Trichoderma citrinoviride
denovo2765,k__Fungi,,,,,,
denovo2766,k__Fungi,,,,,,
denovo2767,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo2768,k__Fungi, p__Ascomycota, c__Saccharomycetes, o__Saccharomycetales, f__Trichomonascaceae, g__Sugiyamaella, s__Sugiyamaella paludigena
denovo2769,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Phallales, f__Phallaceae, g__Phallus, s__Phallus rugulosus
denovo2770,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Entolomataceae, g__Entoloma, s__Entoloma abortivum
denovo2771,k__Fungi,,,,,,
denovo2772,k__Fungi,,,,,,
denovo2773,k__Fungi,,,,,,
denovo2774,k__Fungi,,,,,,
denovo2775,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Cortinariaceae, g__Cortinarius, s__Cortinarius tubarius
denovo2776,k__Fungi, p__Ascomycota, c__Leotiomycetes,,,,
denovo2777,k__Fungi,,,,,,
denovo2778,k__Fungi,,,,,,
denovo2779,k__Fungi, p__Chytridiomycota, c__Chytridiomycetes, o__Chytridiales, f__Incertae sedis, g__Delfinachytrium, s__Delfinachytrium mesopotamicum
denovo2780,k__Fungi,,,,,,
denovo2781,k__Fungi,,,,,,
denovo2782,k__Fungi,,,,,,
denovo2783,k__Fungi,,,,,,
denovo2784,k__Fungi,,,,,,
denovo2785,k__Fungi, p__Chytridiomycota, c__unidentified, o__unidentified, f__unidentified, g__unidentified, s__Chytridiomycota sp
denovo2786,k__Fungi,,,,,,
denovo2787,k__Fungi,,,,,,
denovo2788,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Bolbitiaceae,,
denovo2789,k__Fungi,,,,,,
denovo2790,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Tricholomataceae, g__Clitocybe, s__Clitocybe subditopoda
denovo2791,k__Fungi,,,,,,
denovo2792,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae, g__Hypholoma, s__Nematoloma longisporum
